genre,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,item_id
Alternative,Foo Fighters,Everlong,74,5.96e-05,0.412,250547,0.882,0.00031,B,0.0805,-5.54,Minor,0.0369,158.066,4/4,0.356,287
Alternative,3 Doors Down,Kryptonite,75,0.00664,0.545,233933,0.865,1.12e-05,B,0.168,-5.708,Minor,0.0286,99.01,4/4,0.543,259
Alternative,The White Stripes,Seven Nation Army,72,0.00817,0.737,231733,0.463,0.447,C,0.255,-7.828,Major,0.0792,123.881,4/4,0.324,315
Alternative,MGMT,Electric Feel,74,0.0714,0.763,229640,0.807,0.28,C#,0.348,-3.714,Major,0.035,103.038,3/4,0.559,207
Alternative,The 1975,Somebody Else,71,0.202,0.611,347520,0.799,0.0277,C,0.123,-5.719,Major,0.0641,101.038,4/4,0.51,155
Alternative,System Of A Down,Chop Suey!,77,0.000278,0.419,210240,0.934,0.0015,G,0.132,-3.908,Minor,0.12,127.288,4/4,0.286,143
Alternative,grandson,Blood // Water,68,0.00163,0.504,214520,0.891,0.00199,F#,0.148,-5.632,Minor,0.137,153.988,4/4,0.628,123
Alternative,Weezer,Island In The Sun,74,0.00719,0.654,200307,0.81,0.00251,E,0.165,-6.26,Minor,0.0288,114.623,4/4,0.661,277
Alternative,Still Woozy,Habit,69,0.27,0.766,153857,0.402,0.0007,C#,0.106,-11.155,Major,0.107,125.107,4/4,0.466,251
Alternative,Frank Ocean,Chanel,73,0.874,0.776,210285,0.503,0.0,C,0.112,-5.732,Minor,0.237,110.134,4/4,0.473,184
Alternative,Counting Crows,Mr. Jones,75,0.211,0.581,272507,0.817,1.42e-06,C,0.246,-6.542,Major,0.0382,141.607,4/4,0.779,295
Alternative,Red Hot Chili Peppers,Can't Stop,77,0.0179,0.618,269000,0.938,0.0,A,0.167,-3.442,Major,0.0456,91.455,4/4,0.875,161
Alternative,Toploader,Dancing in the Moonlight - 2001 Remix,63,0.0217,0.748,233573,0.842,4.24e-06,A#,0.357,-3.107,Major,0.0265,119.023,4/4,0.945,230
Alternative,Joji,Will He,70,0.837,0.618,202103,0.217,0.000163,A#,0.538,-15.372,Major,0.0515,116.013,4/4,0.0872,281
Alternative,Red Hot Chili Peppers,Snow (Hey Oh),76,0.127,0.432,335067,0.895,1.16e-05,B,0.141,-3.682,Major,0.0504,104.458,4/4,0.625,237
Alternative,Bad Wolves,Zombie,70,0.00756,0.448,254805,0.826,0.0,D,0.117,-3.244,Minor,0.0319,77.093,4/4,0.19,312
Alternative,The Revivalists,Wish I Knew You,67,0.13,0.651,274093,0.716,0.0616,C,0.125,-6.516,Minor,0.0258,101.05,4/4,0.722,181
Alternative,Alina Baraz,Electric (feat. Khalid),70,0.738,0.599,246327,0.396,2.19e-05,A#,0.102,-10.489,Minor,0.0392,111.072,4/4,0.134,166
Alternative,Jhene Aiko,Sativa,70,0.315,0.741,276960,0.61,0.0,F#,0.534,-7.34,Minor,0.0512,125.99,4/4,0.72,160
Alternative,Alice In Chains,Man in the Box,68,0.00229,0.346,284427,0.765,7.54e-06,G#,0.213,-8.558,Major,0.0413,106.463,4/4,0.644,248
Alternative,The Offspring,"You're Gonna Go Far, Kid",74,0.00511,0.546,177827,0.905,0.0,C,0.211,-3.103,Major,0.0671,126.12,4/4,0.598,252
Alternative,Duckwrth,Start a Riot,69,0.0128,0.728,171467,0.727,0.0,D,0.0882,-3.585,Major,0.206,143.144,4/4,0.89,177
Alternative,KALEO,Way Down We Go,73,0.579,0.489,213707,0.505,0.000333,A#,0.104,-8.022,Minor,0.117,163.255,4/4,0.337,267
Alternative,Foo Fighters,The Pretender,73,0.000917,0.433,269373,0.959,0.0,A,0.028,-4.04,Major,0.0431,172.984,4/4,0.365,175
Alternative,DaniLeigh,Easy - Remix,72,0.195,0.799,186587,0.301,0.0,G,0.0816,-11.361,Major,0.185,100.026,4/4,0.511,101
Alternative,Frank Ocean,Self Control,70,0.765,0.572,249668,0.209,0.0,G#,0.356,-10.413,Major,0.0313,80.069,4/4,0.446,159
