genre,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,item_id
1,Yo Trane,High off You,62,0.472,0.631,179293,0.319,0.0,0,0.303,-13.056,0,0.315,80,4,0.345,46
1,Loyle Carner,Ain't Nothing Changed,62,0.505,0.753,194427,0.663,0.0598,8,0.115,-8.073,1,0.176,90,4,0.149,47
1,Demi Lovato,You Don't Do It For Me Anymore,66,0.0978,0.583,197720,0.435,0.0,5,0.0763,-6.389,0,0.0478,128,3,0.129,48
1,Roy Woods,Get You Good,68,0.0306,0.69,226632,0.502,0.0,0,0.145,-7.077,0,0.0638,86,4,0.329,49
1,James Blake,Power On,65,0.849,0.649,246400,0.468,0.00706,2,0.106,-10.951,1,0.0447,92,4,0.618,50
1,Ne-Yo,Sexy Love,68,0.265,0.622,220853,0.503,0.000473,8,0.0596,-6.417,1,0.0433,94,4,0.58,51
1,Mariah Carey,Hero,71,0.735,0.501,257733,0.378,0.0,4,0.119,-9.37,1,0.029,120,4,0.178,52
1,SZA,Prom,64,0.0658,0.805,196133,0.702,0.0,1,0.123,-4.877,1,0.0887,120,4,0.225,53
1,Daniel Caesar,Violet,62,0.748,0.688,144000,0.425,0.00548,4,0.101,-8.134,0,0.027,130,4,0.179,54
1,Rels B,A Mí,73,0.241,0.846,209680,0.548,0.0713,1,0.0419,-6.397,1,0.256,95,4,0.516,55
1,ROSALÍA,A NINGÚN HOMBRE - Cap.11: Poder,62,0.942,0.555,94224,0.149,0.0,0,0.135,-6.599,1,0.0413,108,5,0.408,56
1,The Weeknd,Twenty Eight,63,0.574,0.639,258453,0.633,0.000218,3,0.111,-7.338,0,0.0352,130,4,0.243,57
1,Olivia O'Brien,Love Myself,68,0.596,0.653,213947,0.621,0.0,11,0.0811,-5.721,0,0.0409,100,4,0.466,58
1,Jarreau Vandal,Someone That You Love,64,0.558,0.737,177063,0.429,0.0,4,0.142,-8.261,1,0.0665,105,4,0.44,59
1,Macy Gray,I Try,73,0.313,0.593,239440,0.642,0.000582,2,0.0804,-7.284,1,0.0299,76,4,0.736,60
1,All-4-One,I Can Love You Like That,66,0.0811,0.635,257960,0.712,0.0,8,0.322,-4.998,1,0.0283,91,4,0.423,61
1,Jagged Edge,Where the Party At,70,0.31,0.596,232573,0.661,0.0,5,0.0847,-6.239,0,0.226,129,5,0.86,62
1,Roy Woods,Snow White,67,0.195,0.782,261835,0.559,2.11e-06,0,0.112,-7.955,0,0.046,88,4,0.199,63
1,Mase,What You Want (feat. Total),66,0.0312,0.838,242947,0.72,1.11e-05,10,0.422,-6.593,0,0.384,94,4,0.845,64
1,James Vickery,Until Morning,62,0.125,0.549,196625,0.414,0.0,1,0.112,-9.55,0,0.0556,86,4,0.491,65
1,Big Sean,Sacrifices,63,0.284,0.77,287320,0.565,0.0,10,0.257,-7.641,0,0.272,142,4,0.394,66
1,Tove Lo,Habits (Stay High),67,0.0703,0.733,209160,0.65,6.59e-05,5,0.0829,-3.539,1,0.0315,110,4,0.348,67
1,PARTYNEXTDOOR,Wus Good / Curious,67,0.0727,0.344,212880,0.537,0.000127,8,0.225,-8.215,0,0.079,83,5,0.453,68
1,Jorja Smith,Carry Me Home,65,0.633,0.471,282329,0.352,2.75e-05,2,0.115,-9.699,1,0.0391,118,3,0.102,69
1,The Weeknd,What You Need,65,0.525,0.657,196360,0.405,0.072,0,0.146,-8.637,0,0.0584,134,4,0.0673,70
1,Greeicy,Jacuzzi,72,0.0927,0.821,184107,0.736,0.0,0,0.0542,-4.484,0,0.0669,93,4,0.94,71
1,BJ The Chicago Kid,Roses,64,0.38,0.655,181144,0.597,0.0,0,0.11,-7.269,0,0.0912,110,4,0.219,72
1,Tory Lanez,LUV - Remix,63,0.0278,0.677,166800,0.558,0.0,11,0.873,-7.622,0,0.252,95,4,0.564,73
1,Eric Bellinger,Valet (feat. Fetty Wap and 2 Chainz),62,0.0287,0.749,204324,0.53,0.0,1,0.141,-5.251,1,0.0386,94,4,0.332,74
1,Cosmo Pyke,Chronic Sunshine,62,0.0264,0.431,270927,0.773,0.0,2,0.348,-5.002,1,0.0636,111,4,0.504,75
1,Tobi Lou,Buff Baby,62,0.19,0.736,215385,0.643,0.0,5,0.106,-8.636,1,0.0461,156,4,0.599,76
1,Daniel Caesar,Neu Roses (Transgressor's Song),62,0.933,0.543,181908,0.327,1.22e-06,0,0.685,-12.749,1,0.0625,69,4,0.291,77
1,DEAN,D (Half Moon),65,0.234,0.514,229360,0.764,0.0,7,0.0576,-5.161,1,0.134,170,4,0.49,78
1,Chris Brown,Back To Sleep,66,0.0424,0.647,201253,0.646,0.0,9,0.0888,-5.483,0,0.243,93,4,0.721,79
1,Zico,SoulMate (feat. IU),64,0.234,0.855,219391,0.58,0.0,5,0.0965,-6.951,1,0.141,97,4,0.518,80
1,PJ Morton,Say So (feat. JoJo),63,0.591,0.502,212973,0.409,0.0,0,0.113,-7.581,1,0.0512,75,4,0.234,81
1,The Weeknd,Often - Kygo Remix,66,0.123,0.523,234400,0.491,0.0,7,0.331,-9.876,0,0.0491,80,4,0.408,82
1,HONNE,I Got You ◑,62,0.046,0.668,211712,0.515,0.0,7,0.17,-6.033,0,0.25,87,4,0.64,83
1,Rex Orange County,You've Got a Friend in Me,62,0.897,0.788,139522,0.45,3.07e-05,3,0.3,-7.148,1,0.0278,113,4,0.448,84
1,Tory Lanez,ThE RUn oFF,62,0.0184,0.693,170543,0.791,0.0,2,0.345,-5.463,1,0.161,153,4,0.827,85
1,Daniel Caesar,Blessed,70,0.824,0.448,241371,0.263,1.91e-06,11,0.106,-11.98,1,0.0373,110,1,0.451,86
1,Angie Stone,Wish I Didn't Miss You,63,0.355,0.856,270893,0.755,0.000621,10,0.145,-5.691,1,0.0331,124,4,0.842,87
1,Mario,How Do I Breathe,67,0.215,0.684,216893,0.455,1.08e-06,5,0.263,-8.216,1,0.0307,98,4,0.487,88
1,Tory Lanez,CuT me oFF (feat. NAV),62,0.266,0.705,124154,0.675,0.0,1,0.31,-4.433,1,0.184,140,4,0.118,89
1,Usher,You Make Me Wanna...,69,0.0359,0.761,219120,0.639,0.0,5,0.0945,-7.577,0,0.0539,164,4,0.922,90
1,LL Cool J,Hey Lover,62,0.349,0.707,284693,0.438,0.0,5,0.106,-12.195,0,0.0656,88,4,0.53,91
1,Dreezy,Body,62,0.552,0.735,232707,0.567,0.0,0,0.0659,-5.962,1,0.0635,150,4,0.574,92
1,Miguel,Remember Me (Dúo),66,0.426,0.612,164453,0.548,0.0,0,0.502,-6.71,1,0.0351,85,4,0.617,93
1,Loyle Carner,Loose Ends,67,0.166,0.79,256198,0.675,1.36e-05,11,0.103,-6.952,0,0.319,91,4,0.363,94
1,Gaab,Tem Café,69,0.0346,0.694,262687,0.506,0.0,4,0.0774,-10.272,0,0.29,170,4,0.263,95
1,DJ Khaled,All I Do Is Win,70,0.0104,0.549,227293,0.791,0.0,10,0.444,-3.535,1,0.133,150,4,0.293,96
1,Daniel Caesar,Streetcar,71,0.721,0.41,246972,0.298,0.0,3,0.158,-11.796,1,0.0473,110,3,0.142,97
3,Alanis Morissette,You Oughta Know - 2015 Remaster,64,0.21,0.665,249493,0.834,0.0,4,0.452,-7.737,1,0.0576,105,4,0.411,98
3,6LACK,Ex Calling,67,0.00561,0.773,211960,0.564,1.99e-05,1,0.213,-7.241,1,0.249,156,4,0.0588,99
3,Los Enanitos Verdes,La Muralla Verde,69,0.0653,0.724,161800,0.856,1.85e-06,8,0.354,-6.119,0,0.0283,130,4,0.891,100
3,DaniLeigh,Easy - Remix,72,0.195,0.799,186587,0.301,0.0,7,0.0816,-11.361,1,0.185,100,4,0.511,101
3,Drowning Pool,Bodies,69,0.00347,0.656,201960,0.932,0.00147,4,0.144,-3.405,0,0.0708,131,4,0.544,102
3,Sabrina Claudio,Confidently Lost,63,0.272,0.666,209885,0.39,9.39e-06,5,0.111,-8.575,1,0.0838,114,4,0.325,103
3,Blur,Girls and Boys,65,0.00971,0.693,259387,0.875,0.0,7,0.0601,-8.354,0,0.0315,120,4,0.901,104
3,Bunbury,Aunque no sea conmigo,66,0.458,0.461,212560,0.715,1.56e-05,4,0.719,-6.246,0,0.0281,86,4,0.455,105
3,The Neighbourhood,Cry Baby,65,0.00269,0.581,235160,0.656,2.78e-06,4,0.101,-4.891,0,0.0294,108,4,0.338,106
3,Pixies,Hey,62,0.000897,0.596,211440,0.315,0.00106,7,0.121,-15.003,1,0.0305,100,4,0.343,107
3,Seether,Remedy,65,0.00018,0.546,207213,0.959,0.00144,8,0.0584,-4.664,1,0.082,128,4,0.416,108
3,Hoobastank,The Reason,71,0.0105,0.474,232800,0.672,0.0,4,0.142,-4.678,1,0.028,83,4,0.0649,109
3,Panteon Rococo,La Dosis Perfecta,64,0.0464,0.674,255507,0.771,3.23e-05,0,0.0362,-5.943,0,0.0316,155,4,0.966,110
3,The Verve,Lucky Man,62,0.273,0.394,293587,0.629,8.65e-05,2,0.0902,-7.584,1,0.0292,76,4,0.181,111
3,Tierra Whack,Pretty Ugly,62,0.22,0.941,60000,0.656,1.06e-05,0,0.121,-8.178,1,0.154,110,4,0.382,112
3,Puddle Of Mudd,Blurry,63,0.01,0.44,304000,0.929,0.0,3,0.142,-4.494,0,0.0525,157,4,0.495,113
3,The Offspring,Come Out And Play (Keep ‘Em Separated),64,0.0535,0.476,197800,0.856,6.75e-06,7,0.0846,-3.764,1,0.161,159,4,0.847,114
3,Lamb of God,Laid to Rest,62,0.000293,0.366,230127,0.956,0.00447,10,0.449,-3.725,0,0.108,104,3,0.159,115
3,Theory of a Deadman,Rx (Medicate),68,0.0133,0.639,233173,0.71,0.0,1,0.118,-7.445,1,0.0275,120,4,0.378,116
3,Café Tacvba,Eres,71,0.0124,0.588,267600,0.72,0.017,9,0.27,-6.197,0,0.027,150,4,0.466,117
3,Linkin Park,Battle Symphony,62,0.0369,0.653,216281,0.839,0.0,10,0.068,-5.077,1,0.0685,149,4,0.669,118
3,Pearl Jam,Last Kiss,67,0.363,0.622,195467,0.692,0.000158,7,0.193,-6.97,1,0.0276,112,4,0.774,119
3,Rammstein,PUPPE,72,0.0229,0.581,273707,0.822,0.0,11,0.126,-7.341,1,0.0574,117,4,0.3,120
3,The Black Keys,Breaking Down,62,0.00433,0.444,205037,0.738,0.00211,2,0.165,-5.351,1,0.0312,108,4,0.464,121
3,Nickelback,When We Stand Together,63,0.000102,0.446,190787,0.9,1.89e-05,10,0.0404,-3.541,0,0.0489,188,4,0.88,122
3,grandson,Blood // Water,68,0.00163,0.504,214520,0.891,0.00199,6,0.148,-5.632,0,0.137,154,4,0.628,123
3,The White Stripes,Icky Thump,63,0.021,0.424,254533,0.632,0.0117,9,0.0545,-7.243,1,0.0922,98,4,0.356,124
3,Weezer,Beverly Hills,66,0.0932,0.693,196093,0.823,0.0,5,0.328,-3.761,1,0.0726,88,4,0.741,125
3,The Strokes,Last Nite,65,0.0223,0.624,193373,0.899,0.000155,0,0.0975,-5.71,1,0.0295,104,4,0.797,126
3,Bush,Glycerine,63,0.0371,0.437,266493,0.337,0.000946,5,0.0981,-11.439,1,0.0326,114,4,0.0784,127
3,The Smashing Pumpkins,Bullet With Butterfly Wings - Remastered 2012,69,5.59e-05,0.404,258467,0.72,0.836,10,0.0466,-9.18,0,0.0626,122,4,0.475,128
3,Linkin Park,LOST IN THE ECHO,62,0.0154,0.546,205120,0.98,0.0,9,0.31,-3.02,0,0.0619,120,4,0.478,129
3,Disturbed,Inside the Fire,62,0.000233,0.463,231573,0.962,0.109,7,0.0906,-6.43,1,0.0704,94,4,0.66,130
3,The Neighbourhood,Afraid,65,0.00892,0.464,251187,0.701,0.309,6,0.335,-5.693,0,0.0411,84,4,0.356,131
3,Los Auténticos Decadentes,Amor (Ft. Mon Laferte) - Mtv Unplugged,63,0.0339,0.597,312443,0.818,0.0,9,0.978,-5.317,0,0.0472,93,4,0.688,132
3,Mos Def,Ms. Fat Booty,66,0.148,0.782,223547,0.589,0.0,1,0.164,-4.827,1,0.189,90,4,0.869,133
3,Kiana Ledé,Bouncin (feat. Offset),69,0.15,0.942,172493,0.557,2.97e-05,8,0.103,-8.433,1,0.307,101,4,0.77,134
3,grandson,Despicable,63,0.0123,0.576,223893,0.782,0.00241,1,0.467,-6.167,1,0.0346,88,4,0.367,135
3,Pixies,Here Comes Your Man,63,0.0451,0.664,201693,0.788,0.0416,2,0.117,-12.323,1,0.0294,125,4,0.869,136
3,The 1975,Chocolate,62,0.00391,0.591,224640,0.94,0.0,11,0.383,-4.341,1,0.0522,100,4,0.676,137
3,Radiohead,Fake Plastic Trees,67,0.167,0.454,290707,0.229,0.102,2,0.202,-12.592,1,0.0297,74,4,0.134,138
3,Summer Walker,CPR,64,0.637,0.693,203240,0.369,0.00335,7,0.0951,-12.683,0,0.175,140,4,0.141,139
3,Soda Stereo,Cuando Pase El Temblor - Remasterizado 2007,67,0.0314,0.652,229160,0.607,0.00285,0,0.0721,-8.657,1,0.0368,94,4,0.72,140
3,Dread Mar I,Arbol Sin Hojas,62,0.188,0.77,199864,0.576,0.000284,5,0.0246,-6.721,0,0.119,168,4,0.97,141
3,Blood Orange,Dark & Handsome,65,0.689,0.584,153750,0.389,0.0,11,0.319,-12.315,1,0.154,80,4,0.288,142
3,System Of A Down,Chop Suey!,77,0.000278,0.419,210240,0.934,0.0015,7,0.132,-3.908,0,0.12,127,4,0.286,143
3,grandson,Bury Me Face Down,62,0.0187,0.39,231667,0.629,4.12e-05,1,0.0658,-4.876,0,0.0469,142,4,0.162,144
3,Rammstein,ZEIG DICH,73,0.00108,0.545,255845,0.942,0.0246,0,0.0585,-4.283,0,0.0417,165,4,0.365,145
3,Chevelle,The Red,66,0.000671,0.509,238400,0.843,0.000803,1,0.348,-3.318,0,0.0488,140,3,0.332,146
3,Maldita Vecindad Y Los Hijos Del 5to. Patio,Kumbala,65,0.0114,0.722,267227,0.368,0.00167,4,0.0806,-13.212,0,0.0305,120,4,0.527,147
3,slowthai,Inglorious (feat. Skepta),64,0.0169,0.751,188553,0.66,2.35e-05,4,0.11,-7.031,1,0.327,150,4,0.408,148
3,The Score,Stronger,64,0.0232,0.267,190987,0.67,0.0,2,0.312,-4.688,0,0.0807,192,3,0.114,149
3,Rage Against The Machine,Testify,63,0.0261,0.47,210133,0.978,1.09e-05,7,0.356,-5.399,1,0.0727,118,4,0.503,150
3,Café Tacvba,Como te extraño mi amor,67,0.0823,0.791,214880,0.759,4.44e-05,9,0.0993,-5.67,1,0.037,125,4,0.917,151
3,Oliver Tree,Hurt,71,0.0209,0.561,145558,0.782,0.0,0,0.315,-5.863,1,0.04,94,4,0.486,152
3,Two Door Cinema Club,What You Know,66,0.000715,0.561,191707,0.741,1.4e-05,6,0.0822,-4.239,0,0.0419,139,4,0.776,153
3,The 1975,I Always Wanna Die (Sometimes),64,0.00499,0.368,314663,0.511,0.000728,4,0.117,-5.477,1,0.0329,149,4,0.0504,154
3,The 1975,Somebody Else,71,0.202,0.611,347520,0.799,0.0277,0,0.123,-5.719,1,0.0641,101,4,0.51,155
3,Pearl Jam,Daughter (Remastered),65,0.00746,0.615,234333,0.702,0.00431,7,0.0608,-9.686,1,0.0278,97,4,0.734,156
3,Kiana Ledé,EX,70,0.231,0.763,222387,0.537,0.0,9,0.109,-7.018,0,0.246,74,4,0.426,157
3,Alice In Chains,Rooster,65,0.0307,0.269,374333,0.551,0.000619,10,0.118,-8.456,0,0.0274,144,3,0.202,158
3,Frank Ocean,Self Control,70,0.765,0.572,249668,0.209,0.0,8,0.356,-10.413,1,0.0313,80,4,0.446,159
3,Jhene Aiko,Sativa,70,0.315,0.741,276960,0.61,0.0,6,0.534,-7.34,0,0.0512,126,4,0.72,160
3,Red Hot Chili Peppers,Can't Stop,77,0.0179,0.618,269000,0.938,0.0,9,0.167,-3.442,1,0.0456,91,4,0.875,161
3,Joji,Demons,65,0.416,0.464,176804,0.378,0.0917,2,0.0966,-11.354,0,0.143,164,5,0.037,162
3,Matt Maher,"Lord, I Need You",62,0.517,0.457,205667,0.451,0.0,10,0.0928,-6.997,1,0.029,75,4,0.185,163
3,Joy Division,Disorder - 2007 Remaster,63,0.00033,0.32,209040,0.798,0.692,10,0.176,-7.078,0,0.124,85,4,0.74,164
3,Limp Bizkit,Behind Blue Eyes,69,0.455,0.584,269973,0.491,0.0,7,0.116,-6.631,1,0.0263,120,4,0.0916,165
3,Alina Baraz,Electric (feat. Khalid),70,0.738,0.599,246327,0.396,2.19e-05,10,0.102,-10.489,0,0.0392,111,4,0.134,166
3,Nickelback,If Today Was Your Last Day,65,8.67e-05,0.485,249067,0.911,0.0,3,0.092,-5.749,1,0.0355,90,4,0.568,167
3,Janelle Monáe,Make Me Feel,67,0.132,0.859,194230,0.413,0.0,1,0.334,-7.399,1,0.182,115,4,0.697,168
3,Third Eye Blind,Jumper - 1998 Edit,65,0.0129,0.599,272973,0.543,0.00193,0,0.291,-9.226,1,0.0302,91,4,0.624,169
3,Godsmack,Awake,62,1.84e-05,0.406,304373,0.758,0.00253,5,0.308,-4.1,1,0.0558,112,4,0.532,170
3,Solange,Stay Flo,62,0.397,0.823,175707,0.558,2.03e-05,9,0.0821,-7.119,1,0.0278,156,4,0.674,171
3,Red Hot Chili Peppers,Soul to Squeeze,62,0.0322,0.663,289533,0.546,0.000572,5,0.107,-5.234,1,0.0269,88,4,0.656,172
3,Limp Bizkit,Rollin' (Air Raid Vehicle),70,0.00506,0.599,213760,0.932,0.0,9,0.269,-3.328,1,0.18,96,4,0.692,173
3,Klaxons,Golden Skans,63,0.000483,0.466,165120,0.838,1.11e-05,2,0.167,-2.698,0,0.0399,142,4,0.765,174
3,Foo Fighters,The Pretender,73,0.000917,0.433,269373,0.959,0.0,9,0.028,-4.04,1,0.0431,173,4,0.365,175
3,PNAU,Solid Gold,65,0.0978,0.567,208367,0.946,1.37e-06,5,0.0836,-2.245,0,0.0541,105,4,0.295,176
3,Duckwrth,Start a Riot,69,0.0128,0.728,171467,0.727,0.0,2,0.0882,-3.585,1,0.206,143,4,0.89,177
3,Incubus,Pardon Me,63,0.00114,0.579,223747,0.812,0.00333,1,0.115,-6.509,0,0.0693,152,4,0.278,178
3,Bunbury,Frente a frente (feat. Miren Iza),62,0.513,0.419,233960,0.473,3.52e-06,7,0.133,-8.192,0,0.0288,138,4,0.324,179
3,The 1975,TOOTIMETOOTIMETOOTIME,69,0.209,0.667,207851,0.798,0.015,8,0.0972,-5.935,1,0.0675,115,4,0.485,180
3,The Revivalists,Wish I Knew You,67,0.13,0.651,274093,0.716,0.0616,0,0.125,-6.516,0,0.0258,101,4,0.722,181
3,Rammstein,RADIO,71,0.00404,0.652,277397,0.894,0.00381,0,0.124,-5.145,0,0.0409,132,4,0.76,182
3,Avenged Sevenfold,Shepherd of Fire,64,0.000332,0.576,323800,0.906,0.0614,2,0.0908,-7.677,1,0.0571,128,4,0.211,183
3,Frank Ocean,Chanel,73,0.874,0.776,210285,0.503,0.0,0,0.112,-5.732,0,0.237,110,4,0.473,184
3,Caifanes,La Célula Que Explota,67,0.44,0.425,215867,0.479,0.000109,2,0.378,-12.22,1,0.0419,123,4,0.279,185
3,Theory of a Deadman,Angel,64,0.00251,0.443,202213,0.844,0.0,11,0.085,-5.414,0,0.0425,76,4,0.452,186
3,The Black Keys,Lo/Hi,66,0.0151,0.606,177768,0.679,0.000433,2,0.0962,-7.445,1,0.0321,122,4,0.707,187
3,Soundgarden,Fell On Black Days,63,0.00165,0.573,283027,0.75,0.000285,4,0.131,-5.718,0,0.0272,101,3,0.544,188
3,Three Days Grace,Animal I Have Become,69,0.000684,0.553,231400,0.853,0.0,8,0.126,-3.668,1,0.0339,122,4,0.506,189
3,Solange,Almeda,63,0.0227,0.827,236120,0.553,1.52e-05,1,0.176,-5.296,1,0.032,110,4,0.0631,190
3,Jhene Aiko,Triggered (freestyle),73,0.81,0.471,211227,0.411,0.0,0,0.135,-9.5,1,0.295,89,1,0.363,191
3,3 Doors Down,When I'm Gone,66,0.00457,0.496,260507,0.765,0.0,7,0.104,-5.66,1,0.033,74,4,0.337,192
3,6LACK,Pretty Little Fears (feat. J. Cole),74,0.711,0.611,240342,0.466,0.000264,9,0.0847,-11.361,1,0.372,192,4,0.223,193
3,BANKS,Contaminated,63,0.732,0.475,280680,0.322,8.6e-06,11,0.107,-7.401,0,0.0481,77,4,0.269,194
3,Inspector,Amnesia,62,0.331,0.505,241627,0.75,0.0,6,0.098,-5.366,0,0.048,145,4,0.752,195
3,Red Hot Chili Peppers,The Zephyr Song,65,0.013,0.725,231933,0.803,3.66e-05,2,0.0891,-4.083,1,0.0337,117,4,0.403,196
3,Jhene Aiko,The Worst,66,0.237,0.524,254493,0.417,1.19e-06,1,0.139,-9.283,0,0.0578,94,4,0.109,197
3,Aleks Syntek,Duele El Amor,62,0.325,0.674,275373,0.774,1.52e-06,6,0.323,-6.004,0,0.0349,130,4,0.702,198
3,Nickelback,Photograph,64,0.000932,0.513,258920,0.877,0.000163,8,0.136,-3.756,1,0.0292,146,4,0.389,199
3,X Ambassadors,HEY CHILD,64,0.00499,0.697,208653,0.661,2.77e-06,5,0.0773,-5.535,1,0.0453,112,4,0.546,200
3,Supergrass,Alright,69,0.000479,0.467,180880,0.958,0.199,4,0.299,-4.808,0,0.0775,146,4,0.701,201
